food_item_id_urut,n_records,median_g_day,max_g_day,n_implausible_volume,median_r_protein,median_r_energy,suspect_misclassification,n_implausible_fct,implausible_nutrient,value,median_across_items
90,435,28.571428571428573,285.7142857142857,0,1.1692307692307693,1.0482758620689654,FALSE,1,vitamin_c,19,1
91,9,14.285714285714286,35.714285714285715,0,1.1052631578947367,0.6907894736842105,FALSE,1,vitamin_c,31,1
95,98,5.952380952380952,47.61904761904761,0,0.9930313588850174,0.8864915572232644,FALSE,1,vitamin_c,84,1
105,1,7.142857142857143,7.142857142857143,0,0.9051903365152265,0.6701428528808827,FALSE,1,copper,155.633928571429,0.1725
121,2079,35.714285714285715,142.85714285714286,0,0.8,0.8,FALSE,1,fat,98,2.4
127,144,11.160714285714285,89.28571428571429,0,2,1,FALSE,1,zinc,13.2,0.8755833333333335
135,363,1.1904761904761905,11.904761904761903,0,1,0.9422222222222223,FALSE,1,fat,63,2.4
124,NA,NA,NA,NA,NA,NA,FALSE,1,fat,82.0461538461538,2.4
111,3064,47.61904761904761,1071.4285714285713,22,0.8571428571428548,0.9219512195121955,FALSE,0,NA,NA,NA
175,809,61.224489795918366,2428.5714285714284,16,NA,NA,FALSE,0,NA,NA,NA
141,4076,0.8571428571428571,14.285714285714286,13,NA,NA,FALSE,0,NA,NA,NA
18,3069,48.57142857142857,1000,9,0.6579895963844278,NA,FALSE,0,NA,NA,NA
130,1712,3.333333333333333,57.142857142857146,9,NA,NA,FALSE,0,NA,NA,NA
63,3337,9.523809523809524,137.14285714285714,6,1,1,FALSE,0,NA,NA,NA
154,1431,8.142857142857142,100,4,1.4800281293952182,1.0477230013011434,FALSE,0,NA,NA,NA
67,219,23.809523809523807,357.14285714285717,3,0.8,0.8,FALSE,0,NA,NA,NA
17,1207,40.816326530612244,428.57142857142856,2,0.6732673267326733,NA,FALSE,0,NA,NA,NA
41,236,10.714285714285714,142.85714285714286,2,1.1642944390551753,NA,FALSE,0,NA,NA,NA
6,976,23.809523809523807,357.14285714285717,1,1,1,FALSE,0,NA,NA,NA
11,1017,35.714285714285715,400,1,0.8571428571428572,1.0868167202572347,FALSE,0,NA,NA,NA
23,14,26.785714285714285,357.14285714285717,1,0.6837606837606838,NA,FALSE,0,NA,NA,NA
29,208,42.857142857142854,785.7142857142857,1,0.862041181878907,NA,FALSE,0,NA,NA,NA
33,2003,47.61904761904761,714.2857142857143,1,0.672901784622696,NA,FALSE,0,NA,NA,NA
64,183,5.357142857142857,60.714285714285715,1,0.9621115368241804,0.9102919804465585,FALSE,0,NA,NA,NA
68,679,14.178571428571429,170.14285714285714,1,0.9998771272347485,0.9795771493196055,FALSE,0,NA,NA,NA
144,1146,0.8571428571428571,9.523809523809524,1,NA,NA,FALSE,0,NA,NA,NA
156,2740,20,250,1,1.942014742014742,0.9302923225184709,FALSE,0,NA,NA,NA
173,226,5.178571428571429,58.92857142857143,1,NA,NA,FALSE,0,NA,NA,NA
180,214,2.857142857142857,48,1,1.6666666666666667,1.6428571428571428,FALSE,0,NA,NA,NA
182,116,35.714285714285715,428.57142857142856,1,NA,NA,FALSE,0,NA,NA,NA
2,5200,200,750,0,1.0682773109243702,1.0089136490250696,FALSE,0,NA,NA,NA
3,19,30.612244897959183,178.57142857142858,0,1,1,FALSE,0,NA,NA,NA
7,1,85.71428571428571,85.71428571428571,0,0.847935412579212,1.0431733508656587,FALSE,0,NA,NA,NA
12,140,47.61904761904761,214.28571428571428,0,1.2253162106349995,0.8839644346146021,FALSE,0,NA,NA,NA
19,187,35.714285714285715,333.33333333333337,0,0.6653620352250488,NA,FALSE,0,NA,NA,NA
21,1122,42.857142857142854,428.57142857142856,0,0.909184136021789,NA,FALSE,0,NA,NA,NA
22,361,25,200,0,0.5642289783620926,NA,FALSE,0,NA,NA,NA
25,59,35.714285714285715,142.85714285714286,0,0.8077753779697623,NA,FALSE,0,NA,NA,NA
26,36,47.61904761904761,142.85714285714286,0,0.6740627353023078,NA,FALSE,0,NA,NA,NA
28,528,47.61904761904761,428.57142857142856,0,0.8587515226335412,NA,FALSE,0,NA,NA,NA
31,10,32.142857142857146,57.142857142857146,0,0.7661290322580645,NA,FALSE,0,NA,NA,NA
32,24,26.19047619047619,114.28571428571429,0,0.7666880204996797,NA,FALSE,0,NA,NA,NA
34,39,23.809523809523807,95.23809523809523,0,0.7687711653246267,NA,FALSE,0,NA,NA,NA
35,414,28.571428571428573,238.0952380952381,0,0.957256308261947,NA,FALSE,0,NA,NA,NA
37,9,28.571428571428573,71.42857142857143,0,1.3014875513947723,NA,FALSE,0,NA,NA,NA
38,4,45.238095238095234,53.57142857142857,0,0.5867596586917683,NA,FALSE,0,NA,NA,NA
39,18,7.142857142857143,42.857142857142854,0,1.3017863765766524,NA,FALSE,0,NA,NA,NA
40,23,6.5,17.857142857142858,0,1.4383561643835614,NA,FALSE,0,NA,NA,NA
43,24,4.931972789115646,28.571428571428573,0,1.4442095004266358,NA,FALSE,0,NA,NA,NA
47,39,5.535714285714286,33.333333333333336,0,1.1230770223043383,NA,FALSE,0,NA,NA,NA
53,63,23.809523809523807,85.71428571428571,0,0.9801876955161626,1.1213434452871074,FALSE,0,NA,NA,NA
54,12,28.571428571428573,95.23809523809523,0,1.0080971659919007,0.6916167664670648,FALSE,0,NA,NA,NA
58,18,17.5,142.85714285714286,0,1.1078696200252116,1.0853020978095427,FALSE,0,NA,NA,NA
66,22,12.857142857142858,57.142857142857146,0,0.5957005957005956,0.5424794352129992,FALSE,0,NA,NA,NA
82,604,28.571428571428573,285.7142857142857,0,1.0685840707964607,1.0132743362831866,FALSE,0,NA,NA,NA
84,1681,25,200,0,0.8924271844660178,0.9366527196652729,FALSE,0,NA,NA,NA
87,248,11.904761904761903,47.61904761904761,0,0.9999999999999999,1,FALSE,0,NA,NA,NA
89,267,23.809523809523807,142.85714285714286,0,1,0.8947368421052633,FALSE,0,NA,NA,NA
92,4995,5,47.61904761904761,0,1.0000000000000002,0.8478260869565217,FALSE,0,NA,NA,NA
100,5,8.571428571428571,35.714285714285715,0,1.3835616438356164,1.118395303326809,FALSE,0,NA,NA,NA
101,64,33.57142857142857,95.23809523809523,0,1.0637400077950168,0.9944840139269607,FALSE,0,NA,NA,NA
114,180,47.61904761904761,428.57142857142856,0,0.9333333333333333,0.7950617283950617,FALSE,0,NA,NA,NA
123,2047,28.571428571428573,228.57142857142858,0,1.2158785082660515,1.7723366842506885,FALSE,0,NA,NA,NA
126,5119,23.809523809523807,142.85714285714286,0,NA,0.9238578680203046,FALSE,0,NA,NA,NA
134,5120,3.061224489795918,14.285714285714286,0,NA,NA,FALSE,0,NA,NA,NA
152,393,17.142857142857142,128.57142857142858,0,1.65625,1.67002688172043,FALSE,0,NA,NA,NA
155,1601,18.571428571428573,171.42857142857142,0,1.1985239852398537,1.0030184882404747,FALSE,0,NA,NA,NA
162,83,12.857142857142858,85.71428571428571,0,NA,NA,FALSE,0,NA,NA,NA
165,126,4,30,0,1.0782977273211383,0.5536368615065199,FALSE,0,NA,NA,NA
172,102,12,111.42857142857143,0,NA,NA,FALSE,0,NA,NA,NA
176,1399,1163.265306122449,7125,0,NA,NA,FALSE,0,NA,NA,NA
181,2107,28.571428571428573,212.24489795918367,0,NA,NA,FALSE,0,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,FALSE,0,NA,NA,NA
132,NA,NA,NA,NA,NA,NA,FALSE,0,NA,NA,NA
150,NA,NA,NA,NA,NA,NA,FALSE,0,NA,NA,NA
174,NA,NA,NA,NA,NA,NA,FALSE,0,NA,NA,NA
