aqua,hh_id,hh_id_data_link,iron_standardized_weekly_member_total,zinc_standardized_weekly_member_total,niacin_standardized_weekly_member_total,edible_weekly_member_total
nonaquatic,71956,312477,0.34163676541941834,0.36187197419700484,0.4859124059386871,3670.1630952380947
nonaquatic,71966,313239,0.5048198135881804,0.3338058803634462,0.5073715850045641,12573.3
nonaquatic,71967,311350,0.3479743530745632,0.31136853479853477,0.48919444444444404,3091.0416666666665
nonaquatic,72162,313967,0.4645303563647682,0.4344403308913309,0.563406046863189,4322.166666666667
nonaquatic,72171,314154,0.6262268199812758,0.5254527898592636,0.637644530974364,4954.303589743589
nonaquatic,72295,311911,0.30881354832409164,0.38287136147865736,0.3149855688023507,3768.973809523809
nonaquatic,72309,309246,0.6667436784574066,0.7983116883116886,0.9363850732600721,5285
nonaquatic,72681,312795,0.3268653874883287,0.2989967521367521,3.467930527210884,2712.516666666666
nonaquatic,72699,309594,0.8715288156929439,0.8800162076138148,2.5428456916099766,22297.866666666665
nonaquatic,72700,313682,0.8598375183642085,0.5871808546691406,0.7894297571929199,17821.766666666666
nonaquatic,72705,313769,0.4718138509570497,0.43425825736763235,0.6229183319160988,4380.520833333334
